,Fed Debt_Total Public Debt as Perc of GDP,"All Employees, Retail Trade",IndustrialProductionGoldSilver21222S,Industrial Production_Manufacturing (NAICS),Unemployment_Rate,Households and Nonprofit Organizations_Total Assets,Total Vehicle Sales,New Private Housing Units Authorized by Building Permits,Corp_Total Assets,FEDFUNDS,Federal Debt Held by Federal Reserve Banks
117,0.21432528,,,,,,,,,0.21432528,0.21432528
118,0.12690918,0.12690918,,0.12690918,0.12690918,,0.12690918,0.12690918,0.12690918,0.12690918,0.12690918
119,,0.3827175,,0.3827175,,,0.3827175,,,,
120,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,0.13664384,
121,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016,0.14079016
122,0.27295378,,,,,,0.27295378,0.27295378,,,
123,,0.22790767,,,0.22790767,,0.22790767,0.22790767,,,
124,,,,,0.22048117,0.22048117,0.22048117,,,,
125,0.29126933,,,,,,,0.29126933,,,
126,0.24919416,,,,,,,,,0.24919416,
127,0.1352212,,0.1352212,,0.1352212,,0.1352212,,0.1352212,0.1352212,0.1352212
128,0.15316902,0.15316902,0.15316902,0.15316902,,0.15316902,0.15316902,0.15316902,,0.15316902,0.15316902
129,0.15000595,0.15000595,0.15000595,,,0.15000595,0.15000595,0.15000595,,0.15000595,0.15000595
130,,,0.2936851,,,0.2936851,,,,,
131,0.12069524,0.12069524,0.12069524,0.12069524,0.12069524,0.12069524,0.12069524,0.12069524,,0.12069524,0.12069524
132,,0.18020405,0.18020405,0.18020405,,0.18020405,0.18020405,,0.18020405,0.18020405,0.18020405
133,0.16232257,0.16232257,,0.16232257,,,0.16232257,0.16232257,,,0.16232257
134,0.16312967,0.16312967,0.16312967,0.16312967,0.16312967,0.16312967,0.16312967,0.16312967,0.16312967,,
135,0.16456802,0.16456802,0.16456802,0.16456802,0.16456802,0.16456802,0.16456802,0.16456802,0.16456802,,
136,,0.26166403,,,,,0.26166403,0.26166403,,,
137,0.16144142,,,,0.16144142,,,,0.16144142,0.16144142,
138,,0.15191336,0.15191336,,0.15191336,0.15191336,0.15191336,,,0.15191336,
139,0.17701313,0.17701313,0.17701313,,,0.17701313,0.17701313,,0.17701313,0.17701313,0.17701313
140,0.18143645,0.18143645,,0.18143645,,0.18143645,0.18143645,0.18143645,,0.18143645,
141,0.22607271,,0.22607271,0.22607271,,,0.22607271,,,,
142,,,,0.29584113,,,,,,0.29584113,0.29584113
143,0.71560925,0.71560925,0.71560925,0.71560925,0.71560925,0.71560925,0.71560925,,,0.71560925,0.71560925
144,,,0.18110883,,0.18110883,,0.18110883,0.18110883,0.18110883,,0.18110883
145,,,0.27786312,0.27786312,,,,,,,0.27786312
146,0.33942333,0.33942333,0.33942333,,0.33942333,0.33942333,0.33942333,0.33942333,0.33942333,,0.33942333
147,0.17678216,0.17678216,,0.17678216,,,0.17678216,,0.17678216,0.17678216,0.17678216
148,,,,,,,,0.5053571,,0.5053571,
149,,0.14934741,0.14934741,0.14934741,0.14934741,0.14934741,,,0.14934741,0.14934741,0.14934741
150,,,0.169458,,0.169458,,,0.169458,0.169458,0.169458,
151,,0.2918576,,,,,,,,,0.2918576
152,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795,0.32351795
153,,0.18721874,,0.18721874,0.18721874,,,,0.18721874,,
154,,,0.24761964,,,,,0.24761964,0.24761964,,
155,0.259315,,,,,0.259315,,0.259315,,,
156,0.13802712,0.13802712,0.13802712,,0.13802712,,,,,0.13802712,
157,,,,0.23158626,,0.23158626,0.23158626,,,0.23158626,
158,0.1542058,0.1542058,0.1542058,0.1542058,0.1542058,0.1542058,0.1542058,,,,0.1542058
159,0.34780276,,0.34780276,0.34780276,,0.34780276,,,0.34780276,0.34780276,0.34780276
160,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978,0.13899978
161,0.24501577,,0.24501577,,,0.24501577,,,,,
162,,,,,0.23982677,,0.23982677,,0.23982677,,
163,0.14724022,,0.14724022,0.14724022,0.14724022,0.14724022,,0.14724022,0.14724022,0.14724022,0.14724022
164,0.11879498,0.11879498,0.11879498,,0.11879498,0.11879498,0.11879498,0.11879498,0.11879498,0.11879498,0.11879498
165,0.1540793,0.1540793,,,0.1540793,0.1540793,0.1540793,0.1540793,0.1540793,0.1540793,
166,,0.15380128,,0.15380128,0.15380128,0.15380128,0.15380128,0.15380128,,,0.15380128
167,0.14181083,0.14181083,0.14181083,,0.14181083,0.14181083,0.14181083,,,0.14181083,
168,0.221726,,0.221726,,,0.221726,0.221726,,0.221726,,0.221726
169,0.17377022,0.17377022,0.17377022,0.17377022,,0.17377022,,,,0.17377022,
170,,,,,0.2672362,,0.2672362,0.2672362,,0.2672362,
171,0.19816102,,,0.19816102,,,,0.19816102,,0.19816102,0.19816102
172,0.13136277,0.13136277,0.13136277,0.13136277,0.13136277,,,0.13136277,,0.13136277,
173,0.16791502,0.16791502,0.16791502,,0.16791502,,,,,,
174,0.23974998,,,0.23974998,,,,,,,
175,,,,,0.5506105,,,0.5506105,,,
176,0.1436532,,,0.1436532,0.1436532,0.1436532,0.1436532,0.1436532,0.1436532,0.1436532,0.1436532
177,,0.25781527,,0.25781527,,,,,,0.25781527,
178,0.12872922,,0.12872922,0.12872922,0.12872922,0.12872922,0.12872922,0.12872922,0.12872922,0.12872922,0.12872922
179,0.13186076,0.13186076,0.13186076,,0.13186076,0.13186076,0.13186076,0.13186076,0.13186076,0.13186076,0.13186076
180,0.27036715,,,0.27036715,,0.27036715,0.27036715,0.27036715,,0.27036715,0.27036715
181,0.23433596,,,0.23433596,,0.23433596,,,,,0.23433596
182,,,,0.26206446,,,,0.26206446,0.26206446,,
183,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891,0.1484891
184,0.14761204,,0.14761204,0.14761204,0.14761204,,,,0.14761204,0.14761204,0.14761204
185,0.18612252,,0.18612252,,,,,,0.18612252,0.18612252,0.18612252
186,0.16789019,0.16789019,0.16789019,0.16789019,0.16789019,,,,,,
187,0.20907274,,0.20907274,,,,0.20907274,0.20907274,,,0.20907274
188,,,,,0.19944188,0.19944188,,,0.19944188,,
189,,0.23030531,,,,0.23030531,0.23030531,,0.23030531,,
190,0.19840395,,,,0.19840395,,,0.19840395,0.19840395,,
191,0.12528814,0.12528814,,0.12528814,0.12528814,0.12528814,0.12528814,0.12528814,0.12528814,0.12528814,0.12528814
192,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417,0.13731417
193,0.14850242,0.14850242,0.14850242,0.14850242,0.14850242,0.14850242,0.14850242,,0.14850242,0.14850242,
194,,0.22142577,,0.22142577,,,0.22142577,,,,0.22142577
195,,0.33732736,0.33732736,,,,0.33732736,,0.33732736,0.33732736,
196,,,,,,,,0.25516132,0.25516132,,0.25516132
197,0.17152677,0.17152677,,0.17152677,0.17152677,0.17152677,,0.17152677,,,
198,0.15115468,0.15115468,0.15115468,,0.15115468,0.15115468,,0.15115468,0.15115468,,0.15115468
199,,0.27471888,,,,,,0.27471888,,,
200,0.13591659,,0.13591659,0.13591659,0.13591659,0.13591659,0.13591659,0.13591659,0.13591659,0.13591659,
201,0.12998238,0.12998238,0.12998238,,0.12998238,0.12998238,,0.12998238,0.12998238,0.12998238,0.12998238
202,0.13184257,,0.13184257,0.13184257,0.13184257,0.13184257,,0.13184257,0.13184257,0.13184257,0.13184257
203,,,,0.19045614,,0.19045614,0.19045614,0.19045614,0.19045614,0.19045614,0.19045614
204,,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618,0.12907618
205,,,0.18151112,0.18151112,0.18151112,0.18151112,,0.18151112,,,0.18151112
206,0.17159766,,0.17159766,,,0.17159766,,0.17159766,0.17159766,0.17159766,0.17159766
207,0.14798239,0.14798239,0.14798239,0.14798239,0.14798239,0.14798239,0.14798239,0.14798239,0.14798239,,0.14798239
208,0.248639,,,,0.248639,,,,,,
