index,GOLDAMGBDollarD228NLBM
1969-01-31,42.290909090909096
1969-02-28,42.61625
1969-03-31,43.171428571428564
1969-04-30,43.295
1969-05-31,43.460714285714296
1969-06-30,41.44166666666669
1969-07-31,41.75521739130435
1969-08-31,41.12809523809525
1969-09-30,40.86452380952381
1969-10-31,40.47608695652174
1969-11-30,37.4515
1969-12-31,35.18928571428571
1970-01-31,34.945952380952384
1970-02-28,34.99375
1970-03-31,35.08849999999999
1970-04-30,35.62340909090909
1970-05-31,35.95824999999999
1970-06-30,35.43727272727273
1970-07-31,35.32934782608695
1970-08-31,35.37725000000001
1970-09-30,36.19613636363636
1970-10-31,37.55272727272728
1970-11-30,37.454761904761895
1970-12-31,37.43386363636363
1971-01-31,37.86749999999999
1971-02-28,38.716
1971-03-31,38.87282608695652
1971-04-30,39.00099999999999
1971-05-31,40.4925
1971-06-30,40.104772727272746
1971-07-31,40.9293181818182
1971-08-31,42.72184210526316
1971-09-30,41.97636363636364
1971-10-31,42.476190476190474
1971-11-30,42.842045454545456
1971-12-31,43.44642857142857
1972-01-31,45.640238095238104
1972-02-29,48.23666666666666
1972-03-31,48.28840909090909
1972-04-30,49.02605263157895
1972-05-31,54.5
1972-06-30,62.17045454545453
1972-07-31,65.55833333333335
1972-08-31,66.91704545454544
1972-09-30,65.58928571428572
1972-10-31,64.82363636363635
1972-11-30,62.72568181818181
1972-12-31,63.77894736842106
1973-01-31,65.12681818181817
1973-02-28,73.97125000000003
1973-03-31,84.10468181818182
1973-04-30,90.44078947368422
1973-05-31,101.62272727272726
1973-06-30,119.79999999999998
1973-07-31,120.36363636363636
1973-08-31,106.225
1973-09-30,103.03375
1973-10-31,99.92282608695652
1973-11-30,94.64545454545454
1973-12-31,106.23611111111113
1974-01-31,129.02727272727273
1974-02-28,150.0
1974-03-31,168.29761904761904
1974-04-30,172.2175
1974-05-31,163.56818181818178
1974-06-30,154.0125
1974-07-31,142.2826086956522
1974-08-31,154.36190476190475
1974-09-30,151.65952380952382
1974-10-31,158.5326086956522
1974-11-30,181.48333333333332
1974-12-31,183.6825
1975-01-31,176.86363636363637
1975-02-28,179.5525
1975-03-31,178.20263157894738
1975-04-30,170.06590909090912
1975-05-31,167.29285714285714
1975-06-30,164.25
1975-07-31,164.86739130434785
1975-08-31,163.16750000000005
1975-09-30,144.3113636363636
1975-10-31,142.6913043478261
1975-11-30,142.565
1975-12-31,139.27857142857144
1976-01-31,131.6952380952381
1976-02-29,130.94
1976-03-31,132.67608695652171
1976-04-30,127.91
1976-05-31,126.9125
1976-06-30,125.68409090909094
1976-07-31,117.8659090909091
1976-08-31,110.05476190476186
1976-09-30,114.09772727272724
1976-10-31,116.09523809523813
1976-11-30,130.3409090909091
1976-12-31,133.67380952380955
1977-01-31,132.30625
1977-02-28,136.1625
1977-03-31,148.33913043478262
1977-04-30,149.18421052631578
1977-05-31,146.53636363636363
1977-06-30,140.8275
1977-07-31,143.39761904761906
1977-08-31,145.00909090909087
1977-09-30,149.3340909090909
1977-10-31,158.84761904761905
1977-11-30,162.13181818181818
1977-12-31,160.48000000000005
1978-01-31,173.20714285714286
1978-02-28,178.36
1978-03-31,183.77142857142857
1978-04-30,175.32250000000005
1978-05-31,176.19047619047618
1978-06-30,183.76136363636363
1978-07-31,188.56904761904758
1978-08-31,206.45454545454547
1978-09-30,212.21190476190475
1978-10-31,227.43181818181813
