DATE,TABSNNB
2015-01-01,15870.614
2015-04-01,16108.695
2015-07-01,16332.686
2015-10-01,16523.29
2016-01-01,16625.246
2016-04-01,16921.342
2016-07-01,17286.336
2016-10-01,17540.072
2017-01-01,17778.501
2017-04-01,18208.158
2017-07-01,18557.522
2017-10-01,19006.998
2018-01-01,19157.034
2018-04-01,19592.852
2018-07-01,19676.228
2018-10-01,19995.552
2019-01-01,20300.262
2019-04-01,20685.603
2019-07-01,21023.101
2019-10-01,21189.036
2020-01-01,21518.816
