DATE,TLBSNNCB
2015-04-01,21499.287
2015-07-01,21621.147
2015-10-01,22061.145
2016-01-01,22261.839
2016-04-01,22794.796
2016-07-01,23250.972
2016-10-01,23694.243
2017-01-01,23990.801
2017-04-01,24229.119
2017-07-01,24802.424
2017-10-01,25309.108
2018-01-01,25531.604
2018-04-01,25960.609
2018-07-01,26863.315
2018-10-01,26326.647
2019-01-01,27997.819
2019-04-01,28534.854
2019-07-01,28886.721
2019-10-01,29725.384
2020-01-01,28754.328
