DATE,TLBSNNB
2016-01-01,6874.186
2016-04-01,7043.46
2016-07-01,7211.686
2016-10-01,7379.05
2017-01-01,7520.626
2017-04-01,7668.988
2017-07-01,7815.068
2017-10-01,7966.52
2018-01-01,8053.152
2018-04-01,8201.34
2018-07-01,8274.607
2018-10-01,8477.781
2019-01-01,8577.734
2019-04-01,8674.192
2019-07-01,8801.397
2019-10-01,8929.364
2020-01-01,9131.221
