DATE,ROWTASQ027S
2011-01-01,17806773.0
2011-04-01,18108338.0
2011-07-01,17580328.0
2011-10-01,18355176.0
2012-01-01,19342202.0
2012-04-01,19245750.0
2012-07-01,19974020.0
2012-10-01,20025712.0
2013-01-01,21101261.0
2013-04-01,21335127.0
2013-07-01,21981735.0
2013-10-01,23012411.0
2014-01-01,23506037.0
2014-04-01,24370360.0
2014-07-01,24608789.0
2014-10-01,25138218.0
2015-01-01,25653891.0
2015-04-01,25630350.0
2015-07-01,24694667.0
2015-10-01,25116652.0
2016-01-01,25571051.0
2016-04-01,26221046.0
2016-07-01,26790892.0
2016-10-01,26725844.0
2017-01-01,27796725.0
2017-04-01,28617475.0
2017-07-01,29571328.0
2017-10-01,30501956.0
2018-01-01,30438996.0
2018-04-01,31028982.0
2018-07-01,31989005.0
2018-10-01,29905655.0
2019-01-01,32151051.0
2019-04-01,33231907.0
2019-07-01,33578038.0
2019-10-01,34892192.0
2020-01-01,31989729.0
