DATE,TCMILBSHNO
2015-07-01,14121.892
2015-10-01,14146.738
2016-01-01,14140.843
2016-04-01,14279.993
2016-07-01,14468.99
2016-10-01,14572.821
2017-01-01,14623.176
2017-04-01,14787.489
2017-07-01,14924.557
2017-10-01,15135.999
2018-01-01,15168.706
2018-04-01,15303.968
2018-07-01,15483.784
2018-10-01,15612.658
2019-01-01,15611.677
2019-04-01,15784.666
2019-07-01,15962.356
2019-10-01,16122.038
2020-01-01,16200.52
