round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
10,-499711.87572254334,0.0,1.0,-383287.8661600496,0.0,1.0,elu,128,0,10,11,2,uniform,sigmoid,binary_crossentropy,Nadam
10,-1342312.4833815028,0.0,1.0,-1069104.8808933003,0.0,1.0,elu,32,0,10,11,0,uniform,sigmoid,binary_crossentropy,Adam
10,-2540986.4234104045,0.0,1.0,-2103330.450992556,0.0,1.0,elu,32,0,10,10,0,uniform,sigmoid,binary_crossentropy,RMSprop
10,-3141455.00867052,0.0,1.0,-2036197.959057072,0.0,1.0,elu,128,0,10,11,0,uniform,sigmoid,binary_crossentropy,Adadelta
10,nan,0.0,nan,nan,0.0,nan,relu,64,0,10,10,1,uniform,sigmoid,binary_crossentropy,SGD
10,-208967.59104046243,0.0,1.0,-166409.7550790943,0.0,1.0,relu,128,0,10,9,1,normal,sigmoid,binary_crossentropy,Adagrad
